Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Item_Outlet_Sales
9.3,0.016047301,249.8092,1999,Medium,3735.138
5.92,0.019278216,48.2692,2009,Medium,443.4228
17.5,0.016760075,141.618,1999,Medium,2097.27
19.2,0,182.095,1998,,732.38
8.93,0,53.8614,1987,High,994.7052
10.395,0,51.4008,2009,Medium,556.6088
13.65,0.012741089,57.6588,1987,High,343.5528
,0.127469857,107.7622,1985,Medium,4022.7636
16.2,0.016687114,96.9726,2002,,1076.5986
19.2,0.09444959,187.8214,2007,,4710.535
11.8,0,45.5402,1999,Medium,1516.0266
15.1,0.1000135,145.4786,1999,Medium,1589.2646
16.35,0.0680243,196.4426,1987,High,1977.426
11.8,0.008596051,115.3492,2009,Medium,1621.8888
9,0.069196376,54.3614,1999,Medium,718.3982
,0.034237682,113.2834,1985,Medium,2303.668
18.85,0.138190277,250.8724,1987,High,3775.086
,0.035399923,144.5444,1985,Medium,4064.0432
13,0.099887103,45.906,2007,,838.908
11.65,0.019356132,39.1164,1987,High,308.9312
5.925,0.161466534,45.5086,1998,,178.4344
19.25,0.170348551,55.7956,1998,,163.7868
18.6,0.080829372,96.4436,2009,Medium,2741.7644
18.7,0,256.6672,2009,Medium,3068.0064
17.85,0,93.1436,2002,,2174.5028
10,0.089291137,146.7102,1999,Medium,3791.0652
,0.059511812,128.0678,1985,Medium,2797.6916
8.85,0.113123893,122.5388,2009,Medium,1609.9044
,0.123111453,36.9874,1985,Medium,388.1614
,0.026480954,87.6198,1985,Medium,2180.495
9.8,0.02681843,126.002,1987,High,2150.534
13.6,0.117818348,192.9136,1999,Medium,2527.3768
21.35,0.069102831,259.9278,2009,Medium,6768.5228
12.15,0.042277867,126.5046,1987,High,373.5138
6.42,0.089498926,178.1002,1998,,358.2004
19.6,0,153.3024,2002,,2428.8384
10,0.025879577,265.2226,2002,,5815.0972
10.195,0.159803853,141.5154,1987,High,850.8924
9.895,0.028696932,117.0492,1987,High,810.9444
10.895,0.065041581,196.3794,2007,,3121.2704
12.15,0.028760013,151.4708,2007,,4815.0656
7.905,0.010053105,249.0408,2009,Medium,6258.52
9.195,0.048157338,106.1622,2002,,2117.244
8.365,0.071958197,38.0506,1999,Medium,796.9626
10,0,246.9144,2009,Medium,3185.1872
7.97,0.040071131,87.3514,2002,,1062.6168
,0.012090074,38.2848,1985,Medium,484.7024
,0.026015519,255.8356,1985,Medium,2543.356
